name,company,city,state,country,address,Longitude,Latitude
Ahmedabad,ST Telemedia GDC,Ahmedabad,,India,Gujarat International Finance Tec-City 382355 Ahmedabad India,72.571400000000040,23.022500000000036
Ahmedabad,Reliance Communications Ltd.,Ahmedabad,,India,tbc 380009 Ahmedabad India,72.571400000000040,23.022500000000036
Airoli,Sify Corp,Navi,,India,"7th floor, Reliable Plaza, K-10, Kalwa Industrial Estate, Airoli 400708 Navi Mumbai India",72.877700000000061,19.076000000000022
Ambattur,TATA Communications,Chennai,,India,"226, Ambattur Red Hills Rd 600053 Chennai India",80.270700000000033,13.082700000000045
Andhra Pradesh,Ensono,Hyderabad,,India,"Sy No. 203/P, Manikonda Village, Rajender Nagar Mandal, R.R. District Hyderabad India",78.486700000000042,17.385000000000048
Bandra Kurla Complex,TATA Communications,Mumbai,,India,"C-21 and C-36, Bandra Kurla Complex, 400051 Mumbai India",72.877700000000061,19.076000000000022
Bangalore,Sify Corp,Bangalore,,India,"Cyber Park, Electronic City Bangalore India",77.594600000000071,12.971600000000024
Bangalore,Ricoh India,Bangalore,,India,"MARUTHI INFOTECH CENTRE, Ground Floor, West Wing, Maruthi Infotech Center Survey No 11/1, 12/1 Amarj 560071 Bangalore India",77.594600000000071,12.971600000000024
Bangalore,Dell,Bangalore,,India,tbc Bangalore India,77.594600000000071,12.971600000000024
Bangalore,Tulip Telecom Limited,Bangalore,,India,"#162, #163, #164, #165, Export Promotion Industrial Pa 560 066 Bangalore India",77.594600000000071,12.971600000000024
Bangalore,NetMagic Solutions Pvt Ltd,Bangalore,,India,"Unit No.4, Ground Floor, Navigator, ITPL, White Field Road Bangalore India",77.594600000000071,12.971600000000024
Bangalore,Trijit,Bangalore,,India,Yelahanka New Town 560064 Bangalore India,77.594600000000071,12.971600000000024
Bangalore,Reliance Communications Ltd.,Bangalore,,India,Race Course Road+Yashwantpur+Whitefield 56000 Bangalore India,77.594600000000071,12.971600000000024
Bangalore,Hewlett Packard (HP),Bangalore,,India,tbc Bangalore India,77.594600000000071,12.971600000000024
Bangalore,Net4,Bangalore,,India,"1st Floor, Empire Infantry No.29, ( Old No.10) Infantry Road 560 001 Bangalore India",77.594600000000071,12.971600000000024
Bangalore 2,ST Telemedia GDC,Bengaluru,,India,"18, 2nd Cross Rd 560079 Bengaluru India",77.581970000000069,13.009475800000075
Bengaluru,ESDS Software Solution Pvt. Ltd.,Bengaluru,,India,tbc Bengaluru India,77.697192000000030,12.941824700000041
Bengaluru,Trimax IT Infrastructure & Services,Bengaluru,,India,"Bangalore Urban, F-21, ITI Complex 560016 Bengaluru India",77.594600000000071,12.971600000000024
Chandivalli,NetMagic Solutions Pvt Ltd,Mumbai,,India,LBS Rd 400079 Mumbai India,72.877700000000061,19.076000000000022
Chennai,Ricoh India,Chennai,,India,"The Rain tree place 5th floor, No.9, McNichols Road Chetpet 600031 Chennai India",80.270700000000033,13.082700000000045
Chennai,Servernet Services,Chennai,,India,"73, Second Floor, First Main Road, Nehru Nagar, Near OMR, Kottivakkam 600041 Chennai India",80.270700000000033,13.082700000000045
Chennai,NetMagic Solutions Pvt Ltd,Chennai,,India,"67, Mathiravedu, Velappanchavadi, Poonamallee high road 600077 Chennai India",80.270700000000033,13.082700000000045
Chennai,Zoho,Chennai,,India,tbc Chennai India,80.270700000000033,13.082700000000045
Chennai,Net4,Chennai,,India,"Nawazish, 4th Floor 17 Khader Nawaz Khan Road 600006 Chennai India",80.270700000000033,13.082700000000045
Chennai,Nxtra Data,Chennai,,India,"Nxtra Data Limited, Plot # F-08, SIPCOT IT Park, Siruseri, 603103 Chennai India",80.270700000000033,13.082700000000045
Chennai,Sungard,www.sungardas.com,,India,Chennai India www.sungardas.com,80.270700000000033,13.082700000000045
Chennai,ASPHostPortal.com Web Services,Chennai,,India,"226, Chennai - Thiruttani - Renigunta Hwy 600053 Chennai India",80.270700000000033,13.082700000000045
Chennai,Global Cloud Xchange (GCX),30386000,,India,Chennai India +91 022 30386000,80.270700000000033,13.082700000000045
Chennai 1,ST Telemedia GDC,Chennai,,India,"4th floor, 2nd block 600 002 Chennai India",80.270700000000033,13.082700000000045
Chennai 2,ST Telemedia GDC,Chennai,,India,"226, Red Hills Rd 600099 Chennai India",80.270700000000033,13.082700000000045
Cherthala,Bharat Sanchar Nigam Ltd. (BSNL),Cherthala,,India,Govt. Hospital Rd 688524 Cherthala India,76.337002100000063,9.601028100000065
Coal India Limited,Coal India Limited,Kolkata,,India,Plot No-AF-III 700156 Kolkata India,88.363900000000058,22.572600000000023
Dalal Street,NetMagic Solutions Pvt Ltd,Mumbai,,India,"Phiroze Jeejeebhoy Towers, Dalal Street Mumbai India",72.877700000000061,19.076000000000022
Data First,Neesa Technologies,Ahmedabad,,India,"9th floor , Cambay Grand , Thaltej 380054 Ahmedabad India",72.571400000000040,23.022500000000036
Delhi,Ricoh India,Delhi,,India,"2nd Floor, Salcon Aurum Building, Plot No. 4 110025 Delhi India",77.102500000000077,28.704100000000039
Delhi,TATA Communications,New,,India,"2, Bangla Sahib Rd 110001 New Delhi India",77.102500000000077,28.704100000000039
Fort Mumbai,TATA Communications,Mumbai,,India,Karmaveer Bhaurao Patil Marg Mumbai India,72.877700000000061,19.076000000000022
Hyderabad,Ricoh India,Hyderabad,,India,"#7A, 7th FLOOR, Gummidelli Building, Opp. Shopper Stop, Above Reliance Trend 500016 Hyderabad India",78.486700000000042,17.385000000000048
Hyderabad,CtrlS,Hyderabad,,India,"16, Software Units Layout, Madhapur (Hitech-City) 500081 Hyderabad India",78.486700000000042,17.385000000000048
Hyderabad,T-Rex Networks,Hyderabad,,India,"Plot No 14, Whitefileds 500084 Hyderabad India",78.486700000000042,17.385000000000048
Hyderabad,Net4,Hyderabad,,India,710 7th flr secunderbad 500003 Hyderabad India,78.486700000000042,17.385000000000048
Hyderabad,ST Telemedia GDC,Hyderabad,,India,16 500081 Hyderabad India,78.486700000000042,17.385000000000048
Hyderabad,TATA Communications,Hyderabad,,India,"3rd floor, CFC-1 Software Units Layout 500081 Hyderabad India",78.486700000000042,17.385000000000048
Hyderbad,Global Cloud Xchange (GCX),30386000,,India,Hyderabad India +91 022 30386000,78.486700000000042,17.385000000000048
India,Xiaomi,tbc,,India,tbc tbc India,77.651441000000034,12.922894200000030
International Data Centre 5,Reliance Communications Ltd.,Mumbai,,India,Dhirubhai Ambani Knowledge City Navi Mumbai India,72.877700000000061,19.076000000000022
Jaipur,Neesa Technologies,Jaipur,,India,Kukas 304025 Jaipur India,75.894262800000035,27.042079400000034
Kolkata,ST Telemedia GDC,Kolkata,,India,"CIT Scheme, Ultadanga 700054 Kolkata India",88.363900000000058,22.572600000000023
Kolkata,Ricoh India,Kolkata,,India,"Salt Lake Electronics Complex, Plot No.A1/1 & 2, Block- GP, Sector- V 700091 Kolkata India",88.363900000000058,22.572600000000023
Mumbai,Sify Corp,Mumbai,,India,"VAT 251 & 261, 5th and 6th floor, Vasi Infotech Park 400703 Mumbai India",72.877700000000061,19.076000000000022
Mumbai,Bombay Stock Exchange,Mumbai,,India,"Phiroze Jeejeebhoy Towers, Dalal Street Mumbai India",72.877700000000061,19.076000000000022
Mumbai,NTT,Mumbai,,India,tbc Mumbai India,72.877700000000061,19.076000000000022
Mumbai,Ricoh India,Mumbai,,India,"1201, 1st Floor, Bldg no. 12, Solitaire Corporate Park, Andheri-Ghatkopar Link Road 400093 Mumbai India",72.877700000000061,19.076000000000022
Mumbai,IBM,Mumbai,,India,Airoli Mumbai India,72.877700000000061,19.076000000000022
Mumbai,Web Werks,Mumbai,,India,"Unique Industrial Estate, Off VS Marg 400025 Mumbai India",72.877700000000061,19.076000000000022
Mumbai,GPX Global Systems,Mumbai,,India,"Unit A-001, Boomerang, Chandivali Farm Road, Andheri East Mumbai India",72.877700000000061,19.076000000000022
Mumbai,Net4,Mumbai,,India,614 - 616 Shah & Nahar Indl. Estate Dr. E. Moses Road Worli Naka 400018 Mumbai India,72.877700000000061,19.076000000000022
Mumbai,Nxtra Data,Mumbai,,India,"Interface, 5th floor Building no. 7, Malad (w) 400064 Mumbai India",72.877700000000061,19.076000000000022
Mumbai,Honesty Net Solutions (India) Pvt. Ltd.,Mumbai,,India,A-2009 Station Plaza 400078 Mumbai India,72.877700000000061,19.076000000000022
Mumbai,Sungard,www.sungardas.com,,India,Mumbai India www.sungardas.com,72.877700000000061,19.076000000000022
Mumbai,CtrlS,Navi,,India,"Plot No. GEN 72/1/A, TTC Industrial Area, South Central Road 400710 Navi Mumbai India",72.877700000000061,19.076000000000022
Mumbai,NeoSoft Technologies,Mumbai,,India,"124, SVS Rd 400025 Mumbai India",72.877700000000061,19.076000000000022
